,control1_rna,control2_rna,control3_rna,het1_rna,het2_rna,het3_rna,homo1_rna,homo2_rna,homo3_rna
Kdelc2,985,1081,1018,1293,1102,1245,827,1280,838
Kdelr1,2751,2707,2567,3709,3168,3689,2122,2677,2443
Kdelr2,4313,4362,4237,6134,5550,6062,5471,7741,6422
Kdelr3,1038,1003,818,1772,1673,1659,1531,1970,1507
Kdf1,0,1,0,0,0,0,7,9,3
Kdm1a,4021,4171,3552,5878,5366,5151,5979,6730,5527
Kdm1b,602,564,533,571,544,536,609,769,739
Kdm2a,7240,7582,6312,5445,5227,5149,6641,8548,6582
Kdm2b,1828,1853,1664,1971,1653,1768,2245,2630,2277
Kdm3a,1932,2020,1699,2046,1834,1715,2034,2904,2199
Kdm3b,2358,2533,2032,3012,2656,2798,2551,3153,2503
Kdm4a,2952,3050,2795,4144,3500,3756,3037,4129,3040
Kdm4b,792,768,683,930,816,800,525,762,599
Kdm4c,824,898,698,1076,1064,1041,857,1277,1017
Kdm4d,5,5,3,3,8,3,4,1,1
Kdm5a,3247,3411,2851,4348,4365,3860,3123,4762,3472
Kdm5b,969,1004,711,2578,2477,2032,1117,1202,1074
Kdm5c,6210,6348,5556,7105,6293,6304,4472,5867,4157
Kdm5d,26,25,28,29,21,30,19,21,20
Kdm6a,2283,2475,1923,1855,1960,1750,1115,1769,1153
Kdm6b,2482,2529,2229,3909,3326,3076,2490,4013,2763
Kdm7a,275,329,228,744,779,575,600,1181,619
Kdm8,331,358,286,269,261,276,266,347,274
Kdr,13,12,15,33,32,23,10,28,18
Kdsr,1447,1436,1373,1615,1546,1491,924,1284,1008
Keap1,1375,1388,1412,1650,1448,1658,1471,1942,1474
Keg1,0,0,0,0,0,0,0,0,0
Kel,0,0,0,0,0,0,0,0,0
Kera,0,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,2,0,0,0,1,0,1
Khdc3,3,1,2,1,2,0,1,1,0
Khdc4,1772,1732,1344,1461,1319,1212,1443,1688,1158
Khdrbs1,9158,9666,8518,8902,8403,8747,10678,13194,10468
Khdrbs2,3,1,2,2,2,0,2,3,2
Khdrbs3,994,1032,855,1266,1093,1010,4,2,3
Khk,259,264,282,285,224,230,47,69,32
Khnyn,782,769,581,949,858,739,912,1056,770
Khsrp,6938,7064,6548,5521,4781,5124,4451,5498,3979
Kidins220,2722,2866,2259,4559,4097,3628,1885,3067,2130
Kif11,6128,6883,5498,3988,3909,4011,6262,9915,6224
Kif12,0,0,0,0,0,0,0,0,0
Kif13a,2473,2486,2180,1778,1586,1613,2189,2895,2227
Kif13b,449,508,418,890,830,672,663,968,647
Kif14,1208,1316,992,1222,1147,1215,1102,1535,920
Kif15,1866,2130,1682,1894,1972,1763,2546,3921,2587
Kif16b,697,759,651,699,741,616,888,1333,975
Kif16bos,0,0,0,0,0,0,0,0,0
Kif17,0,2,5,1,1,1,11,8,3
Kif18a,939,1177,802,867,977,993,1253,1656,1055
Kif18b,2591,2766,2300,1859,1584,1849,2731,3082,2102
Kif19a,20,22,22,4,2,3,32,57,36
Kif1a,26,23,16,86,84,82,23,25,36
Kif1b,6598,6972,5750,9300,8914,8480,4517,6633,4231
Kif1bp,1621,1630,1484,1413,1273,1240,1223,1727,1232
Kif1c,8109,8357,8040,11927,10216,10153,10489,11647,10206
Kif20a,6653,6863,5705,9348,8218,9431,8104,10015,6999
Kif20b,3601,4460,3023,2141,2425,2486,3747,5930,3345
Kif21a,771,856,748,599,558,446,1303,2117,1449
Kif21b,278,274,202,1322,1211,946,108,140,144
Kif22,2331,2504,2152,2401,2056,2297,2385,2961,2042
Kif23,6037,6481,5287,5120,4720,5075,6717,9229,5100
Kif24,454,469,380,466,423,466,571,643,488
Kif26a,0,0,1,31,24,21,4,5,3
Kif26b,763,805,481,3290,2821,4255,30,50,55
Kif27,9,14,12,43,34,39,31,54,28
Kif2a,4523,5016,4147,3395,3317,3264,4920,6500,5072
Kif2b,1,0,0,1,1,0,3,0,3
Kif2c,2673,2865,2375,3115,2872,3200,3229,3959,2569
Kif3a,1144,1260,1074,1426,1369,1189,1376,2069,1271
Kif3b,2164,2269,1940,3905,3591,3453,2287,3197,2358
Kif3c,891,899,696,1051,951,929,935,997,945
Kif4,3408,3566,2944,3910,3694,3746,4255,6245,3866
Kif4-ps,0,0,0,0,0,0,0,0,0
Kif5a,62,64,22,127,121,78,68,88,39
Kif5b,8666,9815,7806,13749,14516,12593,6533,10084,7555
Kif5c,1704,1786,1314,1680,1635,1232,19,48,16
Kif6,1,0,2,9,12,14,3,1,2
Kif7,588,662,543,672,575,465,568,689,522
Kif9,15,21,12,39,40,30,37,58,48
Kifap3,1624,1741,1427,2086,2171,1927,1611,2209,1654
Kifc1,1893,2069,1810,1943,1663,1888,1876,2390,1662
Kifc2,17,4,7,62,36,20,10,36,14
